sampleId	sampleName	地址	经度	纬度	环境图片	门图片地址	纲图片地址	目图片地址	科图片地址	属图片地址
70	WMH-16	未名湖	116.30656	39.99587	pic/env/WMH-16.jpg	pic/pie_charts_level2/pie_chart_level2-70.png	pic/pie_charts_level3/pie_chart_level3-70.png	pic/pie_charts_level4/pie_chart_level4-70.png	pic/pie_charts_level5/pie_chart_level5-70.png	pic/pie_charts_level6/pie_chart_level6-70.png
71	WMH-17	未名湖	116.30681	39.99677	pic/env/WMH-17.jpg	pic/pie_charts_level2/pie_chart_level2-71.png	pic/pie_charts_level3/pie_chart_level3-71.png	pic/pie_charts_level4/pie_chart_level4-71.png	pic/pie_charts_level5/pie_chart_level5-71.png	pic/pie_charts_level6/pie_chart_level6-71.png
72	WMH-18	未名湖	116.30621	39.99699	pic/env/WMH-18.jpg	pic/pie_charts_level2/pie_chart_level2-72.png	pic/pie_charts_level3/pie_chart_level3-72.png	pic/pie_charts_level4/pie_chart_level4-72.png	pic/pie_charts_level5/pie_chart_level5-72.png	pic/pie_charts_level6/pie_chart_level6-72.png
73	WMH-19	未名湖	116.30618	39.99664	pic/env/WMH-19.jpg	pic/pie_charts_level2/pie_chart_level2-73.png	pic/pie_charts_level3/pie_chart_level3-73.png	pic/pie_charts_level4/pie_chart_level4-73.png	pic/pie_charts_level5/pie_chart_level5-73.png	pic/pie_charts_level6/pie_chart_level6-73.png
74	WMH-2	未名湖	116.31041	39.99394	pic/env/WMH-2.jpg	pic/pie_charts_level2/pie_chart_level2-74.png	pic/pie_charts_level3/pie_chart_level3-74.png	pic/pie_charts_level4/pie_chart_level4-74.png	pic/pie_charts_level5/pie_chart_level5-74.png	pic/pie_charts_level6/pie_chart_level6-74.png
75	WMH-20	未名湖	116.30461	39.99405	pic/env/WMH-20.jpg	pic/pie_charts_level2/pie_chart_level2-75.png	pic/pie_charts_level3/pie_chart_level3-75.png	pic/pie_charts_level4/pie_chart_level4-75.png	pic/pie_charts_level5/pie_chart_level5-75.png	pic/pie_charts_level6/pie_chart_level6-75.png
76	WMH-21	未名湖	116.30482	39.99446	pic/env/WMH-21.jpg	pic/pie_charts_level2/pie_chart_level2-76.png	pic/pie_charts_level3/pie_chart_level3-76.png	pic/pie_charts_level4/pie_chart_level4-76.png	pic/pie_charts_level5/pie_chart_level5-76.png	pic/pie_charts_level6/pie_chart_level6-76.png
77	WMH-22	未名湖	116.30454	39.99398	pic/env/WMH-22.jpg	pic/pie_charts_level2/pie_chart_level2-77.png	pic/pie_charts_level3/pie_chart_level3-77.png	pic/pie_charts_level4/pie_chart_level4-77.png	pic/pie_charts_level5/pie_chart_level5-77.png	pic/pie_charts_level6/pie_chart_level6-77.png
78	WMH-23	未名湖	116.30554	39.99329	pic/env/WMH-23.jpg	pic/pie_charts_level2/pie_chart_level2-78.png	pic/pie_charts_level3/pie_chart_level3-78.png	pic/pie_charts_level4/pie_chart_level4-78.png	pic/pie_charts_level5/pie_chart_level5-78.png	pic/pie_charts_level6/pie_chart_level6-78.png
79	WMH-24	未名湖	116.306	39.99301	pic/env/WMH-24.jpg	pic/pie_charts_level2/pie_chart_level2-79.png	pic/pie_charts_level3/pie_chart_level3-79.png	pic/pie_charts_level4/pie_chart_level4-79.png	pic/pie_charts_level5/pie_chart_level5-79.png	pic/pie_charts_level6/pie_chart_level6-79.png
80	WMH-25	未名湖	116.30816	39.99207	pic/env/WMH-25.jpg	pic/pie_charts_level2/pie_chart_level2-80.png	pic/pie_charts_level3/pie_chart_level3-80.png	pic/pie_charts_level4/pie_chart_level4-80.png	pic/pie_charts_level5/pie_chart_level5-80.png	pic/pie_charts_level6/pie_chart_level6-80.png
81	WMH-3	未名湖	116.31101	39.99572	pic/env/WMH-3.jpg	pic/pie_charts_level2/pie_chart_level2-81.png	pic/pie_charts_level3/pie_chart_level3-81.png	pic/pie_charts_level4/pie_chart_level4-81.png	pic/pie_charts_level5/pie_chart_level5-81.png	pic/pie_charts_level6/pie_chart_level6-81.png
82	WMH-4	未名湖	116.31042	39.9956	pic/env/WMH-4.jpg	pic/pie_charts_level2/pie_chart_level2-82.png	pic/pie_charts_level3/pie_chart_level3-82.png	pic/pie_charts_level4/pie_chart_level4-82.png	pic/pie_charts_level5/pie_chart_level5-82.png	pic/pie_charts_level6/pie_chart_level6-82.png
